,material,vbm_cubic,cbm_cubic,vbm_k_pbe,cbm_k_pbe,gap_cubic,vbm_I4,cbm_I4,angle_0,gap_I4,vbm_pnma,cbm_pnma,angle_a,angle_c,gap_pnma,gap_cubic_I4,vb_cubic_I4,cb_cubic_I4,gap_cubic_pnma,vb_cubic_pnma,cb_cubic_pnma
27,BiTlO,5.7368,5.292000000000001,20,4,-0.444799999999999,5.1507,6.3677,135.8270730989985,1.2170000000000005,4.7971,6.7899,136.1653038596353,128.45346233466807,1.9928,1.6617999999999995,-0.5861000000000001,1.0756999999999994,2.437599999999999,-0.9396999999999993,1.4978999999999996
28,CaGeO,3.9511,6.6954,20,1,2.7443000000000004,3.7223,7.0645,156.12895189378514,3.3421999999999996,3.1443,7.1333,155.65742786156858,156.36566160041343,3.9890000000000003,0.5978999999999992,-0.22879999999999967,0.36909999999999954,1.2447,-0.8068,0.43789999999999996
29,CaHfO,1.6333,6.9419,20,1,5.3086,1.6313,6.9239,147.13429610985563,5.2926,1.2732,7.4629,147.05545464111282,145.61168688510466,6.1897,0.016000000000000014,-0.0020000000000000018,-0.018000000000000682,0.8811,-0.36009999999999986,0.5209999999999999
30,CaSiO,5.4001,11.1885,20,1,5.788399999999999,5.3626,11.2064,172.33205995723992,5.843800000000001,5.2393,11.2432,171.24337800988278,167.93225224947213,6.0039,0.05540000000000145,-0.03750000000000053,0.017900000000000915,0.21550000000000047,-0.16080000000000005,0.054700000000000415
31,CaSnO,3.6463,7.1475,20,1,3.5012,3.6085,7.3784,146.74369278706092,3.7699000000000003,3.0869999999999997,7.2858,146.01445540231973,144.07166153207726,4.1988,0.2687000000000004,-0.03780000000000028,0.2309000000000001,0.6976000000000004,-0.5593000000000004,0.1383000000000001
32,CaTiO,2.8189,6.1751,20,1,3.3561999999999994,2.6967,6.0915,153.31092629007128,3.3948,2.2717,6.1189,153.68395320969947,154.11589943631728,3.8472,0.038600000000000634,-0.12220000000000031,-0.08359999999999967,0.49100000000000055,-0.5472000000000001,-0.056199999999999584
33,CaZrO,2.9985,7.9268,20,1,4.9283,3.1114,7.9917,145.7672587836345,4.8803,2.7544,8.4515,145.66217016392486,143.8556181274374,5.697099999999999,0.04800000000000004,0.11290000000000022,0.06489999999999974,0.7687999999999988,-0.24409999999999998,0.5246999999999993
34,CdGeO,3.3953,5.2967,10,1,1.9014000000000002,3.1636,5.9439,150.1943066628809,2.7803,2.9079,5.7393,151.2934534003174,150.12836127402196,2.8314,0.8788999999999998,-0.23170000000000002,0.6471999999999998,0.9299999999999997,-0.48740000000000006,0.44259999999999966
35,CdHfO,1.041,1.7872,10,1,0.7462,1.1819,3.7635,144.14141401190545,2.5816,0.9591,5.0809,143.5138646214204,143.7905080227257,4.1217999999999995,1.8354,0.14090000000000003,1.9763000000000002,3.3755999999999995,-0.08189999999999997,3.2937
36,CdSiO,4.7788,7.2132,10,1,2.4343999999999992,4.5717,8.5399,157.0845025303731,3.9681999999999995,4.3603,8.8411,158.63332141695514,157.84539151712886,4.480800000000001,1.5338000000000003,-0.2071000000000005,1.3266999999999998,2.046400000000002,-0.41850000000000076,1.6279000000000012
37,CdSnO,3.0825,4.1403,10,1,1.0577999999999999,3.1249,5.3112,143.46620039296215,2.1863000000000006,3.0703,5.5665,143.24539173587826,141.13826603971563,2.4961999999999995,1.1285000000000007,0.04239999999999977,1.1709000000000005,1.4383999999999997,-0.012199999999999989,1.4261999999999997
38,CdTiO,2.2483,3.759,10,1,1.5107,2.1499,5.459,148.52035400527888,3.3090999999999995,1.8798,5.555,149.34672168303018,150.0315174706181,3.6752,1.7983999999999996,-0.09839999999999982,1.6999999999999997,2.1645,-0.36850000000000005,1.7959999999999998
39,CdZrO,2.4091,3.0452,10,1,0.6360999999999999,2.6714,5.2024,143.05553793299802,2.5309999999999997,2.487,6.7064,142.05580686851218,142.5576796266634,4.2194,1.8948999999999998,0.2623000000000002,2.1572,3.5833000000000004,0.07790000000000008,3.6612000000000005
40,CsAsO,2.6473,2.4386,1,11,-0.20869999999999989,1.0144,2.3416,179.98166931455006,1.3272000000000002,0.5082,2.6949,166.26828979518334,153.94857190038638,2.1867,1.5359,-1.6329,-0.09699999999999998,2.3954,-2.1391,0.2563
41,CsNbO,1.4003,3.7622,1,1,2.3619,1.4037,3.7626,179.99968947629242,2.3589,1.4051,3.7616,179.99672085248054,38.946380608497186,2.3565,0.0029999999999996696,0.0033999999999998476,0.00039999999999995595,0.005399999999999849,0.0047999999999999154,-0.0005999999999999339
42,CsPO,4.1951,3.8959,1,11,-0.2991999999999999,2.0803,3.8354,179.97164056026898,1.7551,1.32,4.1263,163.7880529512268,150.78069252011412,2.8062999999999994,2.0543,-2.1148000000000002,-0.06050000000000022,3.1054999999999993,-2.8750999999999998,0.2303999999999995
43,CsSbO,3.1167,3.1167,1,1,0.0,3.1112,3.1102,179.9959273556236,-0.001000000000000334,3.0968,3.1282,179.9963683909226,38.934604077310674,0.031400000000000095,0.001000000000000334,-0.005499999999999616,-0.00649999999999995,0.031400000000000095,-0.019899999999999807,0.011500000000000288
44,CsTaO,1.6684,4.7373,1,1,3.0689,1.6723,4.7359,179.9927215145139,3.0636,1.6708,4.738,179.99458439174546,179.99310966465183,3.0672000000000006,0.005300000000000082,0.0038999999999997925,-0.00140000000000029,0.0016999999999995907,0.0023999999999999577,0.000700000000000145
45,CsVO,,,0,0,,2.1968,2.9435,179.99764885928897,0.7466999999999997,2.1969,2.9176,179.98857689815904,179.99865605613965,0.7207000000000003,,,,,,
46,CuAsO,,,0,0,,,,143.00304659972213,,5.6229,5.6387,140.87055208448186,141.8563252817819,0.01580000000000048,,,,,,
47,CuPO,7.4602,6.4275,4,1,-1.0327000000000002,8.3111,8.718,151.3007883598411,0.40690000000000026,8.0511,8.6902,152.95547355984513,148.10150428511392,0.6391000000000009,1.4396000000000004,0.8508999999999993,2.2904999999999998,1.671800000000001,0.5908999999999995,2.2627000000000006
48,CuSbO,4.5894,4.5472,10,1,-0.04220000000000024,7.2937,7.1854,142.14587709082076,-0.10830000000000073,6.2804,6.2943,139.95577244250768,140.21263249317258,0.01389999999999958,0.06610000000000049,2.7043,2.6381999999999994,0.05609999999999982,1.6909999999999998,1.7470999999999997
49,CuTaO,2.0637,4.6806,4,1,2.6169000000000002,3.7617,5.6837,144.5845121542581,1.9220000000000002,3.8413,5.8683,145.70537269908752,147.01008141070488,2.0269999999999997,0.6949000000000001,1.698,1.0030999999999999,0.5899000000000005,1.7776,1.1876999999999995
50,CuVO,3.1959,3.5478,4,4,0.3519000000000001,,,161.6046847878783,,4.7774,4.8519,141.0002137866997,145.94188810981854,0.07449999999999957,,,,0.27740000000000054,1.5815000000000001,1.3040999999999996
51,KAsO,2.0469999999999997,1.1815,20,1,-0.8654999999999997,2.1134,1.9733,179.99687421854537,-0.1400999999999999,2.1144,2.0055,179.53690220600345,38.95572962809647,-0.10889999999999977,0.7253999999999998,0.06640000000000024,0.7918000000000001,0.7565999999999999,0.06740000000000013,0.8240000000000001
52,KNbO,0.4428,3.1468,20,1,2.7039999999999997,0.4453,3.1488,179.9995689542143,2.7035,0.4461,3.1487,179.9735649555147,179.96550557920514,2.7026,0.0004999999999997229,0.0024999999999999467,0.002000000000000224,0.0013999999999998458,0.0032999999999999696,0.0019000000000000128
53,KPO,4.0687,3.5811,20,1,-0.4875999999999996,2.3885,3.9654,179.98631446521856,1.5768999999999997,1.584,4.3258,164.72922532043776,153.99929632027798,2.7418,2.0644999999999993,-1.6801999999999997,0.38429999999999964,3.2293999999999996,-2.4846999999999997,0.7446999999999999
54,KSbO,2.6803,2.8692,20,1,0.1889000000000003,2.6605,3.2671,172.3304916662418,0.6066000000000003,2.6346,3.3789999999999996,172.66258768265354,172.4532375219964,0.7443999999999997,0.41769999999999996,-0.01980000000000004,0.3978999999999999,0.5554999999999994,-0.045700000000000074,0.5097999999999994
55,KTaO,0.6703,4.1933,20,1,3.5229999999999997,0.6727,4.1932,179.96066721352298,3.5205,0.6797,4.1927,179.9854341789614,38.94508974787294,3.5130000000000003,0.0024999999999995026,0.0023999999999999577,-9.999999999976694e-05,0.009999999999999343,0.009399999999999964,-0.0005999999999994898
